LANGUAGE,LEVEL,AVERAGE SOURCE STATEMENTS PER FUNCTION POINT
1032/AF,20,16
1st Generation default,1,320
2nd Generation default,3,107
3rd Generation default,4,80
4th Generation default,16,20
5th Generation default,70,5
AAS Macro,3.5,91
ABAP/4,20,16
ACCEL,17,19
Access,8.5,38
ACTOR,15,21
Acumen,11.5,28
Ada 83,4.5,71
Ada 95,6.5,49
ADR/DL,8,40
ADR/IDEAL/PDL,16,20
ADS/Batch,16,20
ADS/Online,16,20
AI shell default,6.5,49
AI SHELLS,6.5,49
ALGOL 68,3,107
ALGOL W,3,107
AMBUSH,10,32
AML,6.5,49
AMPPL II,5,64
ANSI BASIC,5,64
ANSI COBOL 74,3,107
ANSI COBOL 85,3.5,91
ANSI SQL,25,13
ANSWER/DB,25,13
APL 360/370,10,32
APL default,10,32
APL*PLUS,10,32
APPLESOFT BASIC,2.5,128
Application Builder,16,20
Application Manager,9,36
APS,19,17
APT,4.5,71
APTools,16,20
ARC,6.5,49
Ariel,3,107
ARITY,6.5,49
Arity PROLOG,5,64
ART,6.5,49
ART-IM,7,46
ART Enterprise,7,46
Artemis,8,40
AS/SET,17,19
ASI/INQUIRY,25,13
ASK Windows,7,46
Assembly (Basic),1,320
Assembly (Macro),1.5,213
Associative default,5,64
Autocoder,1,320
awk,15,21
Aztec C,2.5,128
BALM,3,107
BASE SAS,6,53
BASIC,3,107
BASIC A,2.5,128
Basic assembly,1,320
Berkeley PASCAL,3.5,91
BETTER BASIC,3.5,91
BLISS,3,107
BMSGEN,9,36
BOEINGCALC,50,6
BTEQ,25,13
C,2.5,125
C Set 2,3.5,91
C++,6,53
C#,6,54
C86Plus,2.5,128
CA-dBFast,8,40
CA-EARL,11.5,28
CAST,6.5,49
CBASIC,3.5,91
CDADL,16,20
CELLSIM,7,46
Centerline C++,6,53
CHILI,3,107
CHILL,3,107
CICS,7,46
CLARION,5.5,58
CLASCAL,4,80
CLI,10,32
CLIPPER,17,19
CLIPPER DB,8,40
CLOS,15,21
CLOUT,8,40
CMS2,3,107
CMSGEN,17,19
COBOL,3,91
COBOL II,3,107
Cobol/400,3.5,91
COBRA,16,20
CodeCenter,9,36
Cofac,9,36
COGEN,9,36
COGNOS,9,36
COGO,4.5,71
COMAL,4,80
COMIT II,5,64
Common LISP,5,64
Concurrent PASCAL,4,80
CONNIVER,5,64
CORAL 66,3,107
CORVET,17,19
CorVision,22,15
CPL,2,160
Crystal Reports,16,20
CSL,6.5,49
CSP,6,53
CSSL,7,46
CULPRIT,25,13
CxPERT,6.5,49
CYGNET,17,19
Data base default,8,40
Dataflex,8,40
Datatrieve,16,20
dBase III,8,40
dBase IV,9,36
DCL,1.5,213
DEC-RALLY,8,40
Decision support default,9,36
DELPHI,11,29
DL/1,8,40
DNA-4,17,19
DOS Batch Files,2.5,128
DSP Assembly,2,160
DTABL,7,46
DTIPT,7,46
DYANA,4.5,71
DYNAMO-III,7,46
EASEL,11,29
EASY,6.5,49
EASYTRIEVE +,25,13
Eclipse,6.5,49
ED-Scheme 3.4,6,53
EDA/SQL,27,12
EIFFEL,15,21
ENFORM,7,46
English-based default,6,53
Ensemble,11,29
EPOS,16,20
Erlang,8,40
ESF,8,40
ESPADVISOR,6.5,49
ESPL/I,4.5,71
EUCLID,3,107
EXCEL 1-2,51,6
EXCEL 3-4,55,6
EXCEL 5,57,6
EXPRESS,9,36
EXSYS,6.5,49
Extended Common LISP,5.75,56
EZNOMAD,9,36
Facets,16,20
FactoryLink IV,11,29
FAME,9,36
FileMaker Pro,9,36
FLAVORS,11,29
FLEX,7,46
FlexGen,11,29
FOCUS,8,40
FOIL,6,53
Forte,18,18
FORTH,5,64
FORTRAN 66,2.5,128
FORTRAN 77,3,107
FORTRAN 90,4,80
FORTRAN 95,4.5,71
FORTRAN,3,107
FORTRAN II,2.5,128
Foundation,11,29
FOXPRO 1,8,40
FOXPRO 2.5,9.5,34
FRAMEWORK,50,6
G2,6.5,49
GAMMA,20,16
Genascript,12,27
GENER/OL,25,13
GENEXUS,21,15
GENIFER,17,19
GeODE 2.0,20,16
GFA Basic,9.5,34
GML,7,46
Golden Common LISP,5,64
GPSS,7,46
GUEST,11.5,28
Guru,6.5,49
GW BASIC,3.25,98
Haskell,8.5,38
High C,2.5,128
HLEVEL,5.5,58
HP BASIC,2.5,128
HTML 2.0,20,16
HTML 3.0,22,15
Huron,20,16
IBM ADF I,16,20
IBM ADF II,18,18
IBM Advanced BASIC,3.25,98
IBM CICS/VS,8,40
IBM Compiled BASIC,3.5,91
IBM VS COBOL,3,107
IBM VS COBOL II,3.5,91
ICES,4.5,71
ICON,4,80
IDMS,8,40
IEF,23,14
IEW,23,14
IFPS/PLUS,10,32
IMPRS,8,40
INFORMIX,8,40
INGRES,8,40
INQUIRE,25,13
INSIGHT2,6.5,49
INSTALL/1,20,16
INTELLECT,6,53
INTERLISP,5.5,58
Interpreted BASIC,3,107
Interpreted C,2.5,128
IQLISP,5.5,58
IQRP,25,13
JANUS,4.5,71
JAVA,6,53
JCL,1.45,221
JOSS,3,107
JOVIAL,3,107
KAPPA,8,40
KBMS,6.5,49
KCL,5,64
KEE,6.5,49
Keyplus,8,40
KL,5,64
KLO,5,64
KNOWOL,6.5,49
KRL,5.5,58
KSH,15,21
Ladder Logic,9,36
LAMBIT/L,5,64
Lattice C,2.5,128
Liana,2.5,128
LILITH,4.5,71
LINC II,23,14
LISP,5,64
LOGLISP,5.5,58
LOOPS,15,21
LOTUS 123 DOS,50,6
LOTUS Macros,3,107
LUCID 3D,51,6
LYRIC,6,53
M,20,16
macFORTH,5,64
MACH1,8,40
Machine language,0.5,640
Macro assembly,1.5,213
MAESTRO,20,16
MAGEC,20,16
MAGIK,15,21
MAKE,15,21
MANTIS,8,40
MAPPER,6,53
MARK IV,8,40
MARK V,9,36
MATHCAD,60,5
MDL,9,36
MENTOR,6,53
MESA,3,107
Microfocus COBOL,4,80
microFORTH,5,64
Microsoft C,2.5,128
MicroStep,16,20
Miranda,8,40
Model 204,8.5,38
MODULA 2,4,80
MOSAIC,50,6
MS C ++ V. 7,6,53
MS Compiled BASIC,3.5,91
MSL,5,64
muLISP,5,64
MUMPS,17,19
NASTRAN,4.5,71
NATURAL 1,6,53
NATURAL 2,7,46
NATURAL Construct,13,25
Natural language,0.1,3200
NETRON/CAP,17,19
NEXPERT,6.5,49
NIAL,6.5,49
NOMAD2,8,40
Non-procedural default,9,36
Notes VIP,9,36
Nroff,6,53
Object-Oriented default,11,29
OBJECT Assembler,5,64
Object LISP,11,29
Object LOGO,11,29
Object PASCAL,11,29
Object Star,20,16
Objective-C,12,27
ObjectVIEW,13,25
OGL,4,80
OMNIS 7,8,40
OODL,11,29
OPS,7,46
OPS5,5.5,58
ORACLE,8,40
Oracle Developer/2000,14,23
Oscar,3,107
PACBASE,22,15
PACE,8,40
PARADOX/PAL,9,36
PASCAL,3.5,91
PC FOCUS,9,36
PDL Millenium,15,21
PDP-11 ADE,6,53
PERL,15,21
Persistance Object Builder,15,21
PHP,5,67
PILOT,6,53
PL/I,4,80
PL/M,4.5,71
PL/S,3.5,91
PLANIT,6,53
PLANNER,5,64
PLANPERFECT 1,45,7
PLATO,6,53
polyFORTH,5,64
POP,5.5,58
POPLOG,5.5,58
Power BASIC,6.5,49
PowerBuilder,20,16
POWERHOUSE,23,14
PPL (Plus),8,40
Pro-C,12,27
PRO-IV,5.5,58
Problem-oriented default,4.5,71
Procedural default,3,107
Professional PASCAL,3.5,91
Program Generator default,20,16
PROGRESS V4,9,36
PROLOG,5,64
PROSE,3,107
PROTEUS,3,107
Python,6,53
QBasic,5.5,58
QBE,25,13
QMF,22,15
QNIAL,6.5,49
QUATTRO,51,6
QUATTRO PRO,51,6
Query default,25,13
QUICK BASIC 1,5,64
QUICK BASIC 2,5.25,61
QUICK BASIC 3,5.5,58
Quick C,2.5,128
Quickbuild,11.5,28
QUIZ,22,15
RALLY,8,40
RAMIS II,8,40
RapidGen,11.5,28
RATFOR,3.5,91
RDB,8,40
REALIA,7,46
Realizer 1.0,8,40
Realizer 2.0,9,36
RELATE/3000,8,40
Reuse default,60,5
REXX (MVS),4,80
REXX (OS/2),7,46
RM BASIC,3.5,91
RM COBOL,3,107
RM FORTRAN,3,107
RPG I,4,80
RPG II,5.5,58
RPG III,5.75,56
RT-Expert 1.4,5.5,58
Ruby RoR,7,46
S-PLUS,10,32
SAIL,3,107
SAPIENS,20,16
SAS,10,32
SAVVY,25,13
SBASIC,3.5,91
SCEPTRE,4.5,71
SCHEME,6,53
Screen painter default,57,6
SEQUAL,27,12
SHELL,15,21
SIMPLAN,9,36
SIMSCRIPT,7,46
SIMULA,7,46
SIMULA 67,7,46
Simulation default,7,46
SMALLTALK 286,15,21
SMALLTALK 80,15,21
SMALLTALK/V,15,21
SNAP,4,80
SNOBOL2-4,2.5,128
SoftScreen,23,14
SOLO,5.5,58
SPEAKEASY,9,36
Spinnaker PPL,9,36
Spreadsheet default,50,6
SPS,1,320
SPSS,10,32
SQL,25,13
SQL-Windows,27,12
Statistical default,10,32
STRATEGEM,9,36
STRESS,4.5,71
Strongly typed default,3.5,91
STYLE,7,46
SUPERBASE 1.3,9,36
SURPASS,50,6
SYBASE,8,40
Symantec C++,11,29
SYMBOLANG,5,64
Synchroworks,18,18
SYNON/2E,17,19
System-W,9,36
Tandem Access Language,3.5,91
TCL,5,64
TELON,20,16
TESSARACT,8,40
THE TWIN,50,6
THEMIS,25,13
TI-IEF,23,14
Topspeed C ++,11,29
TRANSFORM,22,15
TRANSLISP PLUS,5.75,56
TREET,5,64
TREETRAN,5,64
"TRS80 BASIC II,III",2.5,128
TRUE BASIC,5,64
Turbo C,2.5,128
TURBO C++,6,53
TURBO EXPERT,6.5,49
Turbo PASCAL >5,6.5,49
Turbo PASCAL 1-4,4,80
Turbo PASCAL 4-5,4.5,71
Turbo PROLOG,4,80
TURING,4,80
TUTOR,6,53
TWAICE,6.5,49
UCSD PASCAL,3.5,91
UFO/IMS,9,36
UHELP,10,32
UNIFACE,20,16
UNIX Shell Scripts,15,21
VAX ACMS,5.5,58
VAX ADE,8,40
VECTRAN,3,107
VHDL ,17,19
Visible C,6.5,49
Visible COBOL,8,40
Visicalc 1,35,9
Visual 4.0,11,29
Visual Basic 1,7,46
Visual Basic 2,7.5,43
Visual Basic 3,8,40
Visual Basic 4,9,36
Visual Basic 5,11,29
Visual Basic 6,13,22
VB .net,15,20
Visual C++,9.5,34
Visual COBOL,16,20
Visual Objects,20,16
VisualAge,15,21
VisualGen,18,18
VS-REXX,10,32
VULCAN,5,64
VZ Programmer,9,36
WARP X,8,40
WATCOM C,2.5,128
WATCOM C/386,2.5,128
Waterloo C,2.5,128
Waterloo PASCAL,3.5,91
WATFIV,3.75,85
WATFOR,3.5,91
WHIP,3.5,91
Wizard,11.5,28
XLISP,5,64
YACC,6,53
YACC++,6,53
ZBASIC,3.5,91
ZIM,17,19
ZLISP,5,64
